,species
85,bacterium
507,TM7 phylum sp. oral taxon 352
513,[Eubacterium] infirmum
527,TM7 phylum sp. oral taxon 348
538,[Eubacterium] infirmum
559,bacterium 1xD42-67
569,TM7 phylum sp. oral taxon 346
574,bacterium YEK0313
578,Escherichia coli
579,Staphylococcus aureus
580,Edwardsiella tarda
581,Nitratiruptor sp.
582,Xanthomonas arboricola
583,Ralstonia solanacearum
584,Enterococcus faecalis
585,Pseudomonas aeruginosa
586,Vibrio cholerae
587,Vibrio parahaemolyticus
588,Bacillus subtilis
590,Clostridium botulinum
591,Xanthomonas oryzae
592,Sodalis glossinidius
593,Marinomonas mediterranea
594,Salmonella enterica
595,Thermus thermophilus
596,Helicobacter pylori
597,Xanthomonas citri
598,Edwardsiella ictaluri
599,Klebsiella pneumoniae
600,Agathobacter rectalis
601,Pasteurella multocida
602,Bacillus cereus
603,Corynebacterium diphtheriae
605,Enterobacter cloacae
606,Lawsonia intracellularis
607,Parabacteroides merdae
608,Clostridioides difficile
609,Candidatus Pelagibacter ubique
610,Oscillospiraceae bacterium
611,Streptococcus agalactiae
612,Streptococcus pyogenes
613,Aeromonas salmonicida
614,Enterococcus casseliflavus
615,Enterobacter asburiae
616,Limosilactobacillus fermentum
617,Serratia marcescens
619,Citrobacter freundii
620,Parasutterella excrementihominis
621,Elizabethkingia anophelis
623,Megamonas funiformis
624,Acinetobacter pittii
625,Bacteroides ovatus
626,Zymomonas mobilis
627,Cellulophaga baltica
628,Enterococcus gallinarum
629,Streptococcus suis
630,Prochlorococcus marinus
631,Mycobacterium tuberculosis
632,Acinetobacter baumannii
633,Pseudomonas syringae
634,Pseudomonas putida
635,Veillonella parvula
636,Chlamydia pecorum
637,Spiroplasma citri
638,Erwinia amylovora
640,Bacillus thuringiensis
641,Brucella sp.
643,Burkholderia pseudomallei
644,Lactiplantibacillus plantarum
645,Streptococcus pneumoniae
646,Lactobacillus gasseri
647,Listeria monocytogenes
648,Yersinia enterocolitica
649,Bacillus sp. (in: firmicutes)
650,Synechococcus sp.
651,Stenotrophomonas maltophilia
652,Flavobacterium sp.
653,Yersinia pestis
654,Azospirillum brasilense
655,Streptococcus gordonii
656,Streptococcus oralis
658,Pseudomonas fluorescens
659,Campylobacter sp.
660,Gordonia terrae
661,Pantoea agglomerans
662,Erwinia tasmaniensis
663,Campylobacter jejuni
664,Bacteroides fragilis
665,Dickeya solani
666,Staphylococcus pasteuri
667,Bacillus thuringiensis
668,Escherichia coli
669,Lactobacillus helveticus
670,Streptococcus thermophilus
671,Cronobacter turicensis
672,Citrobacter rodentium
673,Vibrio vulnificus
674,Escherichia coli
675,Lactococcus lactis
676,Salmonella enterica
677,Bordetella bronchiseptica
679,Bacillus anthracis
680,Mannheimia haemolytica
682,Mycolicibacterium smegmatis
683,Vibrio harveyi
684,Clostridium perfringens
685,Candidatus Liberibacter asiaticus
686,Cronobacter sakazakii
687,Pseudomonas tolaasii
689,Saccharomonospora sp.
690,Acidithiobacillus caldus
691,Rhizobium etli
692,Bacillus pumilus
693,Prochlorococcus marinus
694,Synechococcus sp. WH 8012
695,Synechococcus sp. WH 8017
696,Cutibacterium acnes
698,Alteromonas macleodii
699,Parasynechococcus marenigrum
700,Pseudoalteromonas phenolica
701,Paenibacillus larvae
702,Leptospira alstonii
703,Leptospira noguchii
704,Leptospira kmetyi
705,Leptospira broomii
706,Leptospira inadai
707,Pseudoalteromonas sp.
708,Priestia megaterium
709,Mycobacteroides abscessus
710,Brucella melitensis
711,Brucella abortus
712,Brucella canis
713,Brucella suis
714,Achromobacter xylosoxidans
715,Dinoroseobacter shibae
716,Lactococcus sp.
717,Mycobacteroides abscessus
718,Fusobacterium nucleatum
719,Enterococcus faecalis
720,Xanthomonas campestris
721,Mycoplasma sp.
722,Oenococcus oeni
723,Haemophilus influenzae
724,Coprococcus comes
725,Metamycoplasma arthritidis
727,Providencia rettgeri
728,Escherichia sp.
729,Mycoplasmopsis pulmonis
731,Myxococcus xanthus
732,Burkholderia thailandensis
733,Sinorhizobium meliloti
734,Propionibacterium freudenreichii
735,Shigella flexneri
736,Klebsiella oxytoca
737,Burkholderia cenocepacia
738,Lacticaseibacillus paracasei
739,Mycolicibacterium smegmatis
740,Burkholderia cepacia
741,Mycoplasmopsis fermentans
742,Evansella clarkii
743,Streptomyces venezuelae
744,Vibrio pelagius
745,Chlamydia abortus
746,Lacticaseibacillus rhamnosus
747,Streptococcus mutans
748,Corynebacterium glutamicum
749,Sinorhizobium meliloti
750,Leptolyngbya foveolarum
751,Staphylococcus epidermidis
752,Streptococcus equi
753,Burkholderia ambifaria
754,Geobacillus sp.
755,Streptococcus dysgalactiae
756,Lactobacillus delbrueckii
757,Microbacterium nematophilum
758,Thalassotalea loyana
759,Aeromonas media
760,Pseudomonas chlororaphis
761,Klebsiella sp.
762,Iodobacter sp.
764,Escherichia coli
765,Ruegeria pomeroyi
766,Sulfitobacter sp.
767,Shigella boydii
769,Xylella fastidiosa
770,Delftia acidovorans
